composition,hardness,load,NComp,Comp_L2Norm,Comp_L3Norm,Comp_L5Norm,Comp_L7Norm,Comp_L10Norm,mean_Number,maxdiff_Number,dev_Number,max_Number,min_Number,most_Number,mean_MendeleevNumber,maxdiff_MendeleevNumber,dev_MendeleevNumber,max_MendeleevNumber,min_MendeleevNumber,most_MendeleevNumber,mean_AtomicWeight,maxdiff_AtomicWeight,dev_AtomicWeight,max_AtomicWeight,min_AtomicWeight,most_AtomicWeight,mean_MeltingT,maxdiff_MeltingT,dev_MeltingT,max_MeltingT,min_MeltingT,most_MeltingT,mean_Column,maxdiff_Column,dev_Column,max_Column,min_Column,most_Column,mean_Row,maxdiff_Row,dev_Row,max_Row,min_Row,most_Row,mean_CovalentRadius,maxdiff_CovalentRadius,dev_CovalentRadius,max_CovalentRadius,min_CovalentRadius,most_CovalentRadius,mean_Electronegativity,maxdiff_Electronegativity,dev_Electronegativity,max_Electronegativity,min_Electronegativity,most_Electronegativity,mean_NsValence,maxdiff_NsValence,dev_NsValence,max_NsValence,min_NsValence,most_NsValence,mean_NpValence,maxdiff_NpValence,dev_NpValence,max_NpValence,min_NpValence,most_NpValence,mean_NdValence,maxdiff_NdValence,dev_NdValence,max_NdValence,min_NdValence,most_NdValence,mean_NfValence,maxdiff_NfValence,dev_NfValence,max_NfValence,min_NfValence,most_NfValence,mean_NValance,maxdiff_NValance,dev_NValance,max_NValance,min_NValance,most_NValance,mean_NsUnfilled,maxdiff_NsUnfilled,dev_NsUnfilled,max_NsUnfilled,min_NsUnfilled,most_NsUnfilled,mean_NpUnfilled,maxdiff_NpUnfilled,dev_NpUnfilled,max_NpUnfilled,min_NpUnfilled,most_NpUnfilled,mean_NdUnfilled,maxdiff_NdUnfilled,dev_NdUnfilled,max_NdUnfilled,min_NdUnfilled,most_NdUnfilled,mean_NfUnfilled,maxdiff_NfUnfilled,dev_NfUnfilled,max_NfUnfilled,min_NfUnfilled,most_NfUnfilled,mean_NUnfilled,maxdiff_NUnfilled,dev_NUnfilled,max_NUnfilled,min_NUnfilled,most_NUnfilled,mean_GSvolume_pa,maxdiff_GSvolume_pa,dev_GSvolume_pa,max_GSvolume_pa,min_GSvolume_pa,most_GSvolume_pa,mean_GSbandgap,maxdiff_GSbandgap,dev_GSbandgap,max_GSbandgap,min_GSbandgap,most_GSbandgap,mean_GSmagmom,maxdiff_GSmagmom,dev_GSmagmom,max_GSmagmom,min_GSmagmom,most_GSmagmom,mean_SpaceGroupNumber,maxdiff_SpaceGroupNumber,dev_SpaceGroupNumber,max_SpaceGroupNumber,min_SpaceGroupNumber,most_SpaceGroupNumber,frac_sValence,frac_pValence,frac_dValence,frac_fValence,CanFormIonic,MaxIonicChar,MeanIonicChar
Ag0.05Gd0.048Pd0.902,1.81,0.49,3,0.904659052,0.902096512,0.902000171,0.902,0.902,46.914,18,1.648856,64,46,46,60.47,38,3.21312,65,27,62,108.93225,50.83,4.638504,157.25,106.42,106.42,1786.7756,593.12,74.4590176,1828.05,1234.93,1828.05,9.714,8,0.644544,11,3,10,5.048,1,0.091392,6,5,5,142.036,57,5.476944,196,139,139,2.1385,1,0.110946,2.2,1.2,2.2,0.146,2,0.263384,2,0,0,0,0,0,0,0,0,9.568,9,0.822528,10,1,10,0.336,7,0.639744,7,0,0,10.05,1,0.095,11,10,10,0.05,1,0.095,1,0,0,0,0,0,0,0,0,0.432,9,0.822528,9,0,0,0.336,7,0.639744,7,0,0,0.818,16,1.475672,16,0,0,15.35272,17.64,1.70066688,32.05,14.41,14.41,0,0,0,0,0,0,0,0,0,0,0,0,223.512,31,2.833152,225,194,225,0.014527363,0,0.952039801,0.033432836,0,0.221199217,0.021381801
Ag0.05Y0.048Pd0.902,1.64,0.49,3,0.904659052,0.902096512,0.902000171,0.902,0.902,45.714,8,0.644544,47,39,46,59.75,53,4.584,65,12,62,105.6517308,18.96235,1.607604557,107.8682,88.90585,106.42,1796.9996,593.12,56.20696,1828.05,1234.93,1828.05,9.714,8,0.644544,11,3,10,5,0,0,5,5,5,141.748,51,4.957392,190,139,139,2.13946,0.98,0.10921416,2.2,1.22,2.2,0.146,2,0.263384,2,0,0,0,0,0,0,0,0,9.568,9,0.822528,10,1,10,0,0,0,0,0,0,9.714,8,0.644544,11,3,10,0.05,1,0.095,1,0,0,0,0,0,0,0,0,0.432,9,0.822528,9,0,0,0,0,0,0,0,0,0.482,9,0.869528,9,0,0,15.36784,17.955,1.72794336,32.365,14.41,14.41,0,0,0,0,0,0,0,0,0,0,0,0,223.512,31,2.833152,225,194,225,0.015029854,0,0.984970146,0,0,0.213450798,0.020680492
Ag0.25Pb0.5Sb0.25Te,0.578,2.94,4,0.58630197,0.524792057,0.503277073,0.500564837,0.500048902,58.75,35,11.625,82,47,52,84,25,6.25,90,65,90,144.303525,99.3318,31.4482375,207.2,107.8682,127.6,778.82125,634.32,145.266875,1234.93,600.61,722.66,14.75,5,1.3125,16,11,16,5.25,1,0.375,6,5,5,141,8,3.5,146,138,138,2.13,0.4,0.1,2.33,1.93,2.1,1.875,1,0.21875,2,1,2,2.875,4,1.15625,4,0,4,10,0,0,10,10,10,3.5,14,5.25,14,0,0,18.25,17,4.875,28,11,16,0.125,1,0.21875,1,0,0,2.375,4,0.96875,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2.5,3,0.875,4,1,2,30.39541667,18.43333333,4.6590625,34.76333333,16.33,34.76333333,0.232,0.464,0.232,0.464,0,0.464,0,0,0,0,0,0,181.125,73,32.90625,225,152,152,0.102739726,0.157534247,0.547945205,0.191780822,1,0.039210561,0.008038485
Al1.5Si1.5N2.5O1.5,15.03,0.98,4,0.515078754,0.421852899,0.372438275,0.361280942,0.357785481,10,7,3,14,7,7,80.28571429,14,4.102040816,87,73,82,20.23091541,14.0788,6.259374759,28.0855,14.0067,14.0067,595.79,1632.2,612.3814286,1687,54.8,63.05,14.57142857,3,0.918367347,16,13,15,2.428571429,1,0.489795918,3,2,2,89.21428571,55,22.95918367,121,66,71,2.575,1.83,0.702857143,3.44,1.61,3.04,2,0,0,2,2,2,2.571428571,3,0.918367347,4,1,3,0,0,0,0,0,0,0,0,0,0,0,0,4.571428571,3,0.918367347,6,3,5,0,0,0,0,0,0,3.428571429,3,0.918367347,5,2,3,0,0,0,0,0,0,0,0,0,0,0,0,3.428571429,3,0.918367347,5,2,3,15.13705357,11.335,2.848239796,20.44,9.105,14.76875,2.464571429,6.437,2.83744898,6.437,0,6.437,0,0,0,0,0,0,168.7142857,215,67.16326531,227,12,194,0.4375,0.5625,0,0,1,0.567089816,0.204788952
Al1.67B22,23.8,2,2,0.932120534,0.929582051,0.929447025,0.929446559,0.929446557,5.564427545,8,1.049210477,13,5,5,72.07055344,1,0.13115131,73,72,72,11.95188718,16.1705386,2.120787315,26.9815386,10.811,10.811,2248.200038,1414.53,185.5174621,2348,933.47,2348,13,0,1.78E-15,13,13,13,2.070553443,1,0.13115131,3,2,2,86.6104774,37,4.852598458,121,84,84,2.009662019,0.43,0.056395063,2.04,1.61,2.04,2,0,2.22E-16,2,2,2,1,0,1.11E-16,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4.44E-16,3,3,3,0,0,0,0,0,0,5,0,0,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,5,5,7.829176172,9.3075,1.220690815,16.48,7.1725,7.1725,1.416476553,1.524,0.199874596,1.524,0,1.524,0,0,0,0,0,0,170.1626531,59,7.73792727,225,166,166,0.666666667,0.333333333,0,0,0,0.045172898,0.005924485
Al3BC3,20.7,0.25,3,0.622699849,0.543278923,0.492501721,0.473196673,0.459331873,8.857142857,8,3.551020408,13,5,9.5,74.57142857,5,2.081632653,77,72,75,18.25538797,16.1705386,7.479557682,26.9815386,10.811,19.4961193,2373.915714,2889.53,1242.072245,3823,933.47,2378.235,13.42857143,1,0.489795918,14,13,13.5,2.428571429,1,0.489795918,3,2,2.5,96.42857143,45,21.06122449,121,76,98.5,2.074285714,0.94,0.407755102,2.55,1.61,2.08,2,0,0,2,2,2,1.428571429,1,0.489795918,2,1,1.5,0,0,0,0,0,0,0,0,0,0,0,0,3.428571429,1,0.489795918,4,3,3.5,0,0,0,0,0,0,4.571428571,1,0.489795918,5,4,4.5,0,0,0,0,0,0,0,0,0,0,0,0,4.571428571,1,0.489795918,5,4,4.5,10.50464286,10.84,5.121734694,16.48,5.64,11.06,2.144571429,4.496,2.015510204,4.496,0,2.248,0,0,0,0,0,0,203.2857143,59,18.6122449,225,166,209.5,0.583333333,0.416666667,0,0,1,0.198203144,0.086049587
Al3BC3,18.2,0.49,3,0.622699849,0.543278923,0.492501721,0.473196673,0.459331873,8.857142857,8,3.551020408,13,5,9.5,74.57142857,5,2.081632653,77,72,75,18.25538797,16.1705386,7.479557682,26.9815386,10.811,19.4961193,2373.915714,2889.53,1242.072245,3823,933.47,2378.235,13.42857143,1,0.489795918,14,13,13.5,2.428571429,1,0.489795918,3,2,2.5,96.42857143,45,21.06122449,121,76,98.5,2.074285714,0.94,0.407755102,2.55,1.61,2.08,2,0,0,2,2,2,1.428571429,1,0.489795918,2,1,1.5,0,0,0,0,0,0,0,0,0,0,0,0,3.428571429,1,0.489795918,4,3,3.5,0,0,0,0,0,0,4.571428571,1,0.489795918,5,4,4.5,0,0,0,0,0,0,0,0,0,0,0,0,4.571428571,1,0.489795918,5,4,4.5,10.50464286,10.84,5.121734694,16.48,5.64,11.06,2.144571429,4.496,2.015510204,4.496,0,2.248,0,0,0,0,0,0,203.2857143,59,18.6122449,225,166,209.5,0.583333333,0.416666667,0,0,1,0.198203144,0.086049587
Al3BC3 ,11.1,10,3,0.622699849,0.543278923,0.492501721,0.473196673,0.459331873,8.857142857,8,3.551020408,13,5,9.5,74.57142857,5,2.081632653,77,72,75,18.25538797,16.1705386,7.479557682,26.9815386,10.811,19.4961193,2373.915714,2889.53,1242.072245,3823,933.47,2378.235,13.42857143,1,0.489795918,14,13,13.5,2.428571429,1,0.489795918,3,2,2.5,96.42857143,45,21.06122449,121,76,98.5,2.074285714,0.94,0.407755102,2.55,1.61,2.08,2,0,0,2,2,2,1.428571429,1,0.489795918,2,1,1.5,0,0,0,0,0,0,0,0,0,0,0,0,3.428571429,1,0.489795918,4,3,3.5,0,0,0,0,0,0,4.571428571,1,0.489795918,5,4,4.5,0,0,0,0,0,0,0,0,0,0,0,0,4.571428571,1,0.489795918,5,4,4.5,10.50464286,10.84,5.121734694,16.48,5.64,11.06,2.144571429,4.496,2.015510204,4.496,0,2.248,0,0,0,0,0,0,203.2857143,59,18.6122449,225,166,209.5,0.583333333,0.416666667,0,0,1,0.198203144,0.086049587
Al3C2B48,33,1.96,3,0.908211815,0.905755908,0.905660573,0.905660378,0.905660377,5.490566038,8,0.888572446,13,5,5,72.24528302,5,0.444286223,77,72,72,11.7715852,16.1705386,1.739927916,26.9815386,10.811,10.811,2323.592642,2889.53,157.3723745,3823,933.47,2348,13.03773585,1,0.07262371,14,13,13,2.056603774,1,0.106799573,3,2,2,85.79245283,45,3.985760057,121,76,84,2.03490566,0.94,0.048102528,2.55,1.61,2.04,2,0,0,2,2,2,1.037735849,1,0.07262371,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3.037735849,1,0.07262371,4,3,3,0,0,0,0,0,0,4.962264151,1,0.07262371,5,4,5,0,0,0,0,0,0,0,0,0,0,0,0,4.962264151,1,0.07262371,5,4,5,7.641509434,10.84,1.000583838,16.48,5.64,7.1725,1.549886792,4.496,0.222348167,4.496,0,1.524,0,0,0,0,0,0,170.3962264,59,7.962976148,225,166,166,0.658385093,0.341614907,0,0,0,0.198203144,0.009781338
AlB12,27,1.96,2,0.926276506,0.923254951,0.923077665,0.923076927,0.923076923,5.615384615,8,1.136094675,13,5,5,72.07692308,1,0.142011834,73,72,72,12.05488758,16.1705386,2.296407849,26.9815386,10.811,10.811,2239.19,1414.53,200.88,2348,933.47,2348,13,0,0,13,13,13,2.076923077,1,0.142011834,3,2,2,86.84615385,37,5.25443787,121,84,84,2.006923077,0.43,0.061065089,2.04,1.61,2.04,2,0,0,2,2,2,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,3,3,0,0,0,0,0,0,5,0,8.88E-16,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,8.88E-16,5,5,5,7.888461538,9.3075,1.321775148,16.48,7.1725,7.1725,1.406769231,1.524,0.216426036,1.524,0,1.524,0,0,0,0,0,0,170.5384615,59,8.378698225,225,166,166,0.666666667,0.333333333,0,0,0,0.045172898,0.006415086
